Record_ID,Variety_ID,Variety,StdLanguageName,StdLangID,Subgroup,Family,OriginalForm,OriginalGloss,OriginalPofSpeech,StdPoS,Std_Gloss,StdGloss_ID,WordNetForm,SemanticField,GeneralNote,PhonemicisedIPA,PhonemicisedForm,REC@LoanCode,REC@LoanSource,RecCounter,SourceNote,SourcePages,SourcePriority,AIATSISCode,Ascii_Name,Glottolog_id,ISO639,Latitude,Longitude,Shortcode,Author,Year,Reconstruction_Form,Reconstruction_ID,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
5164,103810,1177,Gunggari,941,Maric,Pama-Nyungan,waguny,fish,N,N,fish,955,fish.n.01,FISH,,wakuny,wakuÉ_,,,94106,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5165,103811,1177,Gunggari,941,Maric,Pama-Nyungan,wangal,boomerang,N,N,boomerang,378,boomerang.n.01,WEAPON,,waÅ‹al,waÅ‹al,,,94107,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5166,103814,1177,Gunggari,941,Maric,Pama-Nyungan,wangi wangi,mad,Adj,Adj,mad,3278,huffy.s.02,,,waÅ‹i waÅ‹i,waÅ‹i waÅ‹i,,,94110,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5167,103815,1177,Gunggari,941,Maric,Pama-Nyungan,waya,wallaby,N,N,wallaby,691,wallaby.n.01,MAMMAL,,waya,waya,,,94111,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5168,103817,1177,Gunggari,941,Maric,Pama-Nyungan,wayili-,roll,V,V,roll,3640,roll.v.01,,,wayili,wayili,,,94113,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5169,103818,1177,Gunggari,941,Maric,Pama-Nyungan,wayilima-,roll,V,V,roll,3640,roll.v.01,,,wayilima,wayilima,,,94114,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5170,103828,1177,Gunggari,941,Maric,Pama-Nyungan,wandi,"dingo, fox",N,N,dingo,707,dingo.n.01,MAMMAL,,wanti,wanti,,,94124,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5171,103829,1177,Gunggari,941,Maric,Pama-Nyungan,wanga,chest,N,N,chest,76,thorax.n.02,BODY,,waÅ‹a,waÅ‹a,,,94125,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5172,103834,1177,Gunggari,941,Maric,Pama-Nyungan,warrali-,play,Vt,Vt,play,1499,play.v.01,IMPACT,,warrali,warali,,,94130,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5173,103835,1177,Gunggari,941,Maric,Pama-Nyungan,warrama-,play,Vt,Vt,play,1499,play.v.01,IMPACT,,warrama,warama,,,94131,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5174,103841,1177,Gunggari,941,Maric,Pama-Nyungan,warilma-,think about,V,V,think,1632,think.v.02,EMOTION,,warilma,waÉ_ilma,,,94137,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5175,103843,1177,Gunggari,941,Maric,Pama-Nyungan,wi:,firewood,N,N,firewood,547,firewood.n.01,FIRE,,wi:,wiËê,,,94139,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5176,103846,1177,Gunggari,941,Maric,Pama-Nyungan,wila-,fly,N,N,fly,2574,fly.n.01,INSECT,,wila,wila,,,94142,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5177,103847,1177,Gunggari,941,Maric,Pama-Nyungan,wina,fish,N,N,fish,955,fish.n.01,FISH,,wina,wina,,,94143,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5178,103848,1177,Gunggari,941,Maric,Pama-Nyungan,windyu-,ask,V,V,ask,2195,ask.v.01,LANGUAGE,,wintyu,wincu,,,94144,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5179,103850,1177,Gunggari,941,Maric,Pama-Nyungan,winybirr,perspiration,N,N,sweat,142,perspiration.n.01,BODY,,winypirr,wiÉ_pir,,,94146,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5180,103852,1177,Gunggari,941,Maric,Pama-Nyungan,wirgi,stick,N,N,stick,1203,stick.n.02,TREE,,wirki,wiÉ_ki,,,94148,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5181,103853,1177,Gunggari,941,Maric,Pama-Nyungan,wubiny,whistle,Vi,Vi,whistle,1658,whistle.v.01,BODY,,wupiny,wupiÉ_,,,94149,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5182,103854,1177,Gunggari,941,Maric,Pama-Nyungan,wubiriny,puppy,N,N,puppy,5882,puppy.n.01,,,wupiriny,wupiÉ_iÉ_,,,94150,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5183,103858,1177,Gunggari,941,Maric,Pama-Nyungan,wurdadi,possum,N,N,Possum,2193,phalanger.n.01,MAMMAL,,wurtati,wuÊˆati,,,94154,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5184,103861,1177,Gunggari,941,Maric,Pama-Nyungan,wunga,noise,N,N,noise,333,noise.n.01,ABSTRACT,,wuÅ‹a,wuÅ‹a,,,94157,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5185,103864,1177,Gunggari,941,Maric,Pama-Nyungan,wuyu,breath,N,N,breath,163,breath.n.02,BODY,,wuyu,wuyu,,,94160,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5186,103875,1177,Gunggari,941,Maric,Pama-Nyungan,wurgi,"tree, stick",N,N,tree,1195,tree.n.01,TREE,,wurki,wuÉ_ki,,,94171,,Holmer,1,D37,Gunggari,,kgl,-26.71355116,146.4458743,hol88,"Holmer, N.M",1988,,,,,
5187,140397,584,Biri (Yilba),1168,Maric,Pama-Nyungan,babirra,"echidna, porcupine",N,N,Echidna,674,echidna.n.02,MAMMAL,,papirra,papira,,,130152,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5188,140398,584,Biri (Yilba),1168,Maric,Pama-Nyungan,badyari,small,Adj,Adj,small,1327,small.a.01,QUALITY,,patyari,pacaÉ_i,,,130153,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5189,140399,584,Biri (Yilba),1168,Maric,Pama-Nyungan,balban,bone,N,N,bone,172,bone.n.01,BODY,,palpan,palpan,,,130154,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5190,140400,584,Biri (Yilba),1168,Maric,Pama-Nyungan,balbin,thunder storm,N,N,storm,589,storm.n.01,SKY,,palpin,palpin,,,130155,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5191,140403,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bana,stomach,N,N,belly,94,abdomen.n.01,BODY,,pana,pana,,,130158,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5192,140408,584,Biri (Yilba),1168,Maric,Pama-Nyungan,banginim,"wild (fr. Curr 131i - 'bungineme', Chatfield-'bunginme')",,,angry,1464,angry.a.01,QUALITY,,paÅ‹inim,paÅ‹inim,,,130163,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5193,140409,584,Biri (Yilba),1168,Maric,Pama-Nyungan,banydyal,eat,Vt,Vt,eat,2205,eat.v.01,BODY,,panytyal,paÉ_cal,,,130164,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5194,140411,584,Biri (Yilba),1168,Maric,Pama-Nyungan,baÅ‹gany,afraid,Adj,Adj,frightened,1456,frightened.s.01,QUALITY,,paÅ‹kany,paÅ‹kaÉ_,,,130166,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
